,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,NP_concentration (μg/ml),ZOI,reference,time (hr),Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Strain,Coating,Solvent for extract,Precursor of NP,"Temperature for extract, C","Duration preparing extract, min",Concentration of precursor (mM),DONE?,,COUNT of DONE,
116,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,300.0,8.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
117,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,100.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
118,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,50.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
119,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,30.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
120,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,20.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
121,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,10.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
122,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,1000.0,12.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
123,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,500.0,11.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
124,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,300.0,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
125,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,100.0,9.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
126,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,50.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
127,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,30.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
128,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,20.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
129,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,10.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,100,5,1,done,,,
130,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,1000.0,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
131,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,500.0,9.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
132,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,300.0,8.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
133,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,100.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
134,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,50.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
135,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,30.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
136,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,20.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
137,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,10.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
138,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,1000.0,12.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
139,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,500.0,11.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
140,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,300.0,9.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
141,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,100.0,8.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
142,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,50.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
143,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,30.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
144,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,20.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
145,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,10.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,Vibrio parahaemolyticus,pathogenic,n,8.0,30.0,2.0,water,,0,water (distilled),AgNO3,100,5,1,done,,,
146,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,1000.0,17.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
147,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,500.0,16.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
148,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,300.0,15.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
149,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,100.0,13.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
150,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,50.0,11.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
151,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,30.0,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
152,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,20.0,9.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
153,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Bacillus subtilis,10.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,0.16,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
154,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,1000.0,12.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
155,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,500.0,11.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
156,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,300.0,9.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
157,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,100.0,8.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
158,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,50.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
159,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,30.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
160,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,20.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
161,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,10.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,100,5,1,done,,,
162,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,1000.0,8.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
163,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,500.0,7.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
164,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,300.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
165,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,100.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
166,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,50.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
167,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,30.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
168,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,20.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
169,green_synthesis using Dioscorea bulbifera tuber extract,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,10.0,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,100,5,1,done,,,
170,green_synthesis using extract of Klebsiella pneumoniae,20.0,spherical,disc_diffusion,Enterococcus faecalis,10.0,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5822507/,48.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecalis,pathogenic,p,24.0,37.0,2.0,urine,,0,,AgNO3,,,2,done,,,
171,green_synthesis using extract of Klebsiella pneumoniae,20.0,spherical,disc_diffusion,Enterococcus faecalis,20.0,18.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5822507/,48.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecalis,pathogenic,p,24.0,37.0,2.0,urine,,0,,AgNO3,,,2,done,,,
172,green_synthesis using extract of Klebsiella pneumoniae,20.0,spherical,disc_diffusion,Enterococcus faecalis,30.0,23.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5822507/,48.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecalis,pathogenic,p,24.0,37.0,2.0,urine,,0,,AgNO3,,,2,done,,,
173,green_synthesis using extract of Klebsiella pneumoniae,20.0,spherical,disc_diffusion,Enterococcus faecalis,10.0,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5822507/,48.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecalis,pathogenic,p,24.0,37.0,2.0,urine,,0,,AgNO3,,,2,done,,,
174,green_synthesis using extract of Klebsiella pneumoniae,20.0,spherical,disc_diffusion,Enterococcus faecalis,10.0,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5822507/,48.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecalis,pathogenic,p,24.0,37.0,2.0,urine,,0,,AgNO3,,,2,done,,,
175,green_synthesis using extract of corn leaves,45.26,spherical,disc_diffusion,Bacillus cereus,50.0,11.39,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus cereus,pathogenic,p,4.0,30.0,2.0,food,ATCC 13061,0,sterile double distilled water,AgNO3,100,15,1,done,,,
176,green_synthesis using extract of corn leaves,45.26,spherical,disc_diffusion,Escherichia coli,50.0,10.55,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,ATCC 43890,0,sterile double distilled water,AgNO3,100,15,1,done,,,
177,green_synthesis using extract of corn leaves,45.26,spherical,disc_diffusion,Listeria monocytogenes,50.0,9.26,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,24.0,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Bacteria,Listeria monocytogenes,pathogenic,p,24.0,37.0,2.0,food,ATCC 19115,0,sterile double distilled water,AgNO3,100,15,1,done,,,
178,green_synthesis using extract of corn leaves,45.26,spherical,disc_diffusion,Staphylococcus aureus,50.0,11.57,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 49444,0,sterile double distilled water,AgNO3,100,15,1,done,,,
179,green_synthesis using extract of corn leaves,45.26,spherical,disc_diffusion,Salmonella typhimurium,50.0,11.22,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhimurium,pathogenic,n,6.0,37.0,2.0,meat,ATCC 43174,0,sterile double distilled water,AgNO3,100,15,1,done,,,
